Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,seqstart,Sequence info,almendrabrown,,,,POINT,0.000,0.000,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,hammerstone,Sequence info,inhand,None,e_onanvil,,POINT,0.234,0.234,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,WIL,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,pound,Behavior,stand,tailsupport,None,,POINT,2.536,2.536,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,pound,Behavior,stand,tailsupport,None,,POINT,4.171,4.171,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,pound,Behavior,stand,tailsupport,None,,POINT,4.905,4.905,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,seqend,Sequence info,opened,None,None,None,POINT,8.008,8.008,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,seqstart,Sequence info,almendrabrown,,,,POINT,15.916,15.916,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,hammerstone,Sequence info,onanvil,None,e_onanvil,,POINT,15.983,15.983,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,WIL,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,pound,Behavior,stand,tailsupport,None,,POINT,16.350,16.350,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,,
CEBUS-02-R12__2022-07-18__14-59-35,2023-04-05 16:13:21,,Media file,player #1:Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,18.886,60.890,29.970,ZG,TOM,0.0,pound,Behavior,stand,tailsupport,None,,POINT,17.217,17.217,NA,Y:/capuchin_coiba/working/renameddata/R12/CEBUS-02-R12/CEBUS-02-R12__2022-07-18__14-59-35.MP4,NA,NA,,,,
